github.com/huandu/xstrings,https://github.com/huandu/xstrings/blob/v1.5.0/LICENSE,MIT
github.com/jackc/pgpassfile,https://github.com/jackc/pgpassfile/blob/v1.0.0/LICENSE,MIT
github.com/jackc/pgservicefile,https://github.com/jackc/pgservicefile/blob/5a60cdf6a761/LICENSE,MIT
github.com/jackc/pgx/v5,https://github.com/jackc/pgx/blob/v5.9.2/LICENSE,MIT
github.com/jackc/puddle/v2,https://github.com/jackc/puddle/blob/v2.2.2/LICENSE,MIT
github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.18.6/LICENSE,MIT
github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.18.6/LICENSE,Apache-2.0
github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.18.6/LICENSE,BSD-3-Clause
github.com/klauspost/compress/internal/snapref,https://github.com/klauspost/compress/blob/v1.18.6/internal/snapref/LICENSE,BSD-3-Clause
github.com/klauspost/compress/zstd/internal/xxhash,https://github.com/klauspost/compress/blob/v1.18.6/zstd/internal/xxhash/LICENSE.txt,MIT
github.com/klauspost/cpuid/v2,https://github.com/klauspost/cpuid/blob/v2.3.0/LICENSE,MIT
github.com/libdns/libdns,https://github.com/libdns/libdns/blob/v1.1.1/LICENSE,MIT
github.com/manifoldco/promptui,https://github.com/manifoldco/promptui/blob/v0.9.0/LICENSE.md,BSD-3-Clause
github.com/mattn/go-colorable,https://github.com/mattn/go-colorable/blob/v0.1.14/LICENSE,MIT
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty/blob/v0.0.20/LICENSE,MIT
github.com/mgutz/ansi,https://github.com/mgutz/ansi/blob/d51e80ef957d/LICENSE,MIT
github.com/mholt/acmez/v3,https://github.com/mholt/acmez/blob/v3.1.6/LICENSE,Apache-2.0
github.com/miekg/dns,https://github.com/miekg/dns/blob/v1.1.72/LICENSE,BSD-3-Clause
github.com/mitchellh/copystructure,https://github.com/mitchellh/copystructure/blob/v1.2.0/LICENSE,MIT
github.com/mitchellh/go-ps,https://github.com/mitchellh/go-ps/blob/v1.0.0/LICENSE.md,MIT
github.com/mitchellh/reflectwalk,https://github.com/mitchellh/reflectwalk/blob/v1.0.2/LICENSE,MIT
github.com/munnerz/goautoneg,https://github.com/munnerz/goautoneg/blob/a7dc8b61c822/LICENSE,BSD-3-Clause
github.com/pbnjay/memory,https://github.com/pbnjay/memory/blob/7b4eea64cf58/LICENSE,BSD-3-Clause
github.com/pkg/errors,https://github.com/pkg/errors/blob/v0.9.1/LICENSE,BSD-2-Clause
github.com/prometheus/client_golang/internal/github.com/golang/gddo/httputil,https://github.com/prometheus/client_golang/blob/v1.23.2/internal/github.com/golang/gddo/LICENSE,BSD-3-Clause
github.com/prometheus/client_golang/prometheus,https://github.com/prometheus/client_golang/blob/v1.23.2/LICENSE,Apache-2.0
github.com/prometheus/client_model/go,https://github.com/prometheus/client_model/blob/v0.6.2/LICENSE,Apache-2.0
github.com/prometheus/common,https://github.com/prometheus/common/blob/v0.67.5/LICENSE,Apache-2.0
github.com/prometheus/otlptranslator,https://github.com/prometheus/otlptranslator/blob/v1.0.0/LICENSE,Apache-2.0
github.com/quic-go/qpack,https://github.com/quic-go/qpack/blob/v0.6.0/LICENSE.md,MIT
github.com/quic-go/quic-go,https://github.com/quic-go/quic-go/blob/v0.59.1/LICENSE,MIT
github.com/rs/xid,https://github.com/rs/xid/blob/v1.6.0/LICENSE,MIT
github.com/russross/blackfriday/v2,https://github.com/russross/blackfriday/blob/v2.1.0/LICENSE.txt,BSD-2-Clause
github.com/shopspring/decimal,https://github.com/shopspring/decimal/blob/v1.4.0/LICENSE,MIT
github.com/shurcooL/sanitized_anchor_name,https://github.com/shurcooL/sanitized_anchor_name/blob/v1.0.0/LICENSE,MIT
